Date,Price,Open,High,Low,Vol.,Change %
2001-01-03,"6,039.90","6,174.70","6,174.70","6,029.30",,-2.18%
2001-01-04,"6,185.60","6,039.90","6,195.30","6,039.90",,2.41%
2001-01-05,"6,198.10","6,185.60","6,239.60","6,155.00",,0.20%
2001-01-08,"6,149.60","6,198.10","6,212.40","6,137.70",,-0.78%
2001-01-09,"6,088.10","6,149.60","6,195.90","6,066.40",,-1.00%
2001-01-10,"6,060.60","6,088.10","6,119.90","6,040.40",,-0.45%
2001-01-11,"6,114.90","6,059.90","6,114.90","6,052.10",,0.90%
2001-01-12,"6,165.50","6,114.90","6,178.50","6,109.80",,0.83%
2001-01-15,"6,170.30","6,165.50","6,193.40","6,148.80",,0.08%
2001-01-16,"6,083.30","6,170.30","6,173.80","6,076.70",,-1.41%
2001-01-17,"6,197.40","6,083.30","6,205.50","6,083.30",,1.88%
2001-01-18,"6,209.90","6,197.40","6,220.60","6,174.80",,0.20%
2001-01-19,"6,209.30","6,209.90","6,276.40","6,186.40",,-0.01%
2001-01-22,"6,232.00","6,209.30","6,252.30","6,162.90",,0.37%
2001-01-23,"6,214.70","6,232.00","6,232.30","6,187.90",,-0.28%
2001-01-24,"6,264.40","6,214.70","6,309.20","6,214.70",,0.80%
2001-01-25,"6,255.60","6,264.40","6,296.90","6,229.30",,-0.14%
2001-01-26,"6,294.30","6,255.60","6,295.00","6,223.80",,0.62%
2001-01-29,"6,317.00","6,294.30","6,335.10","6,269.40",,0.36%
2001-01-30,"6,334.50","6,317.00","6,337.40","6,300.20",,0.28%
2001-01-31,"6,297.50","6,334.50","6,360.30","6,264.90",,-0.58%
2001-02-01,"6,251.80","6,297.50","6,309.90","6,233.40",,-0.73%
2001-02-02,"6,256.40","6,251.80","6,290.60","6,251.80",,0.07%
2001-02-05,"6,269.20","6,256.40","6,281.30","6,237.10",,0.20%
2001-02-06,"6,293.40","6,269.20","6,306.70","6,262.60",,0.39%
2001-02-07,"6,225.60","6,293.40","6,293.40","6,197.30",,-1.08%
2001-02-08,"6,206.10","6,225.60","6,265.50","6,202.90",,-0.31%
2001-02-09,"6,164.30","6,206.10","6,213.60","6,153.10",,-0.67%
2001-02-12,"6,241.40","6,164.30","6,241.40","6,155.50",,1.25%
2001-02-13,"6,228.50","6,241.40","6,263.30","6,209.00",,-0.21%
2001-02-14,"6,176.20","6,228.50","6,228.50","6,131.60",,-0.84%
2001-02-15,"6,197.90","6,176.20","6,212.70","6,155.50",,0.35%
2001-02-16,"6,088.30","6,197.90","6,197.90","6,082.80",,-1.77%
2001-02-19,"6,094.00","6,088.30","6,102.20","6,065.20",,0.09%
2001-02-20,"5,980.10","6,094.00","6,134.00","5,974.80",,-1.87%
2001-02-21,"5,972.40","5,980.10","5,998.90","5,921.70",,-0.13%
2001-02-22,"6,003.10","5,972.40","6,011.30","5,937.10",,0.51%
2001-02-23,"5,943.70","6,003.10","6,023.40","5,904.70",,-0.99%
2001-02-26,"5,916.70","5,943.70","6,003.50","5,913.80",,-0.45%
2001-02-27,"5,941.20","5,916.70","5,975.30","5,906.90",,0.41%
2001-02-28,"5,917.90","5,941.20","5,997.00","5,901.70",,-0.39%
2001-03-01,"5,908.60","5,917.90","5,949.20","5,868.10",,-0.16%
2001-03-02,"5,858.60","5,908.60","5,924.10","5,829.50",,-0.85%
2001-03-05,"5,931.30","5,858.60","5,931.30","5,856.90",,1.24%
2001-03-06,"6,012.00","5,931.30","6,027.60","5,928.00",,1.36%
2001-03-07,"6,001.80","6,012.00","6,035.30","5,969.60",,-0.17%
2001-03-08,"6,003.20","6,001.80","6,050.40","5,982.00",,0.02%
2001-03-09,"5,917.30","6,003.20","6,003.20","5,908.90",,-1.43%
2001-03-12,"5,826.50","5,917.30","5,917.30","5,786.30",,-1.53%
2001-03-13,"5,720.70","5,826.50","5,826.50","5,720.70",,-1.82%
2001-03-14,"5,625.90","5,720.70","5,742.10","5,471.10",,-1.66%
2001-03-15,"5,729.20","5,625.90","5,729.20","5,594.80",,1.84%
2001-03-16,"5,562.80","5,729.20","5,729.20","5,556.20",,-2.90%
2001-03-19,"5,551.60","5,562.80","5,609.20","5,536.40",,-0.20%
2001-03-20,"5,646.80","5,551.60","5,646.80","5,551.60",,1.71%
2001-03-21,"5,540.70","5,646.80","5,646.80","5,496.00",,-1.88%
2001-03-22,"5,314.80","5,540.70","5,540.70","5,279.60",,-4.08%
2001-03-23,"5,402.30","5,314.80","5,438.00","5,314.80",,1.65%
2001-03-26,"5,576.60","5,402.30","5,580.70","5,402.30",,3.23%
2001-03-27,"5,728.10","5,576.60","5,728.10","5,546.10",,2.72%
2001-03-28,"5,614.00","5,728.10","5,728.20","5,592.20",,-1.99%
2001-03-29,"5,588.40","5,614.00","5,614.00","5,519.90",,-0.46%
2001-03-30,"5,633.70","5,588.40","5,664.80","5,574.10",,0.81%
2001-04-02,"5,618.50","5,633.70","5,653.80","5,558.80",,-0.27%
2001-04-03,"5,463.10","5,618.50","5,618.50","5,459.60",,-2.77%
2001-04-04,"5,535.70","5,463.10","5,537.30","5,354.30",,1.33%
2001-04-05,"5,621.80","5,535.70","5,658.90","5,528.70",,1.56%
2001-04-06,"5,601.50","5,621.80","5,685.60","5,543.10",,-0.36%
2001-04-09,"5,663.30","5,601.50","5,679.70","5,570.10",,1.10%
2001-04-10,"5,803.00","5,663.30","5,808.30","5,663.00",,2.47%
2001-04-11,"5,788.10","5,803.00","5,841.30","5,766.80",,-0.26%
2001-04-12,"5,766.60","5,788.10","5,796.00","5,735.20",,-0.37%
2001-04-17,"5,761.10","5,766.60","5,774.50","5,654.90",,-0.10%
2001-04-18,"5,890.20","5,761.10","5,902.60","5,760.70",,2.24%
2001-04-19,"5,871.60","5,890.20","5,943.40","5,844.70",,-0.32%
2001-04-20,"5,879.80","5,871.60","5,897.70","5,819.70",,0.14%
2001-04-23,"5,871.30","5,879.80","5,889.10","5,834.50",,-0.14%
2001-04-24,"5,840.30","5,871.30","5,910.60","5,824.30",,-0.53%
2001-04-25,"5,827.50","5,840.30","5,840.30","5,788.20",,-0.22%
2001-04-26,"5,868.30","5,827.50","5,868.30","5,777.60",,0.70%
2001-04-27,"5,951.40","5,868.30","5,976.90","5,837.60",,1.42%
2001-04-30,"5,966.90","5,951.40","5,995.40","5,948.00",,0.26%
2001-05-01,"5,928.00","5,966.90","5,966.90","5,917.00",,-0.65%
2001-05-02,"5,904.20","5,928.00","5,963.80","5,896.40",,-0.40%
2001-05-03,"5,765.80","5,904.20","5,904.20","5,755.70",,-2.34%
2001-05-04,"5,870.30","5,765.80","5,871.70","5,753.90",,1.81%
2001-05-08,"5,886.40","5,870.30","5,893.70","5,842.60",,0.27%
2001-05-09,"5,893.70","5,886.40","5,905.30","5,826.80",,0.12%
2001-05-10,"5,964.00","5,893.70","5,987.50","5,874.50",,1.19%
2001-05-11,"5,896.80","5,964.00","5,977.50","5,890.40",,-1.13%
2001-05-14,"5,690.50","5,896.80","5,896.80","5,690.50",,-3.50%
2001-05-15,"5,842.90","5,690.50","5,858.20","5,690.50",,2.68%
2001-05-16,"5,884.00","5,842.90","5,884.70","5,767.70",,0.70%
2001-05-17,"5,904.50","5,884.00","5,968.40","5,884.00",,0.35%
2001-05-18,"5,915.00","5,904.50","5,942.20","5,888.90",,0.18%
2001-05-21,"5,941.60","5,915.00","5,978.30","5,897.80",,0.45%
2001-05-22,"5,976.60","5,941.60","5,993.70","5,936.80",,0.59%
2001-05-23,"5,897.40","5,976.60","5,976.60","5,897.40",,-1.33%
2001-05-24,"5,915.90","5,897.40","5,950.00","5,889.30",,0.31%
2001-05-25,"5,889.80","5,915.90","5,929.80","5,859.80",,-0.44%
2001-05-29,"5,863.90","5,889.80","5,906.60","5,840.80",,-0.44%
2001-05-30,"5,796.90","5,863.90","5,863.90","5,788.90",,-1.14%
2001-05-31,"5,796.10","5,796.90","5,829.80","5,733.80",,-0.01%
2001-06-01,"5,809.60","5,796.10","5,833.40","5,766.60",,0.23%
2001-06-04,"5,856.50","5,809.60","5,861.80","5,809.10",,0.81%
2001-06-05,"5,922.50","5,856.50","5,923.90","5,842.20",,1.13%
2001-06-06,"5,901.50","5,922.50","5,959.70","5,891.90",,-0.35%
2001-06-07,"5,948.30","5,901.50","5,948.30","5,887.40",,0.79%
2001-06-08,"5,950.60","5,948.30","5,981.80","5,934.80",,0.04%
2001-06-11,"5,860.50","5,950.60","5,950.60","5,858.30",,-1.51%
2001-06-12,"5,804.00","5,860.50","5,879.50","5,783.40",,-0.96%
2001-06-13,"5,820.20","5,804.00","5,862.10","5,804.00",,0.28%
2001-06-14,"5,752.50","5,820.20","5,820.20","5,734.60",,-1.16%
2001-06-15,"5,723.00","5,752.50","5,756.20","5,657.70",,-0.51%
2001-06-18,"5,671.60","5,723.00","5,723.00","5,671.60",,-0.90%
2001-06-19,"5,680.40","5,671.60","5,743.60","5,667.20",,0.16%
2001-06-20,"5,699.60","5,680.40","5,711.90","5,622.50",,0.34%
2001-06-21,"5,641.40","5,699.60","5,710.90","5,641.40",,-1.02%
2001-06-22,"5,665.70","5,641.40","5,695.10","5,632.40",,0.43%
2001-06-25,"5,661.90","5,665.70","5,704.50","5,638.40",,-0.07%
2001-06-26,"5,555.70","5,661.90","5,666.30","5,537.30",,-1.88%
2001-06-27,"5,607.90","5,555.70","5,608.30","5,555.70",,0.94%
2001-06-28,"5,638.40","5,607.90","5,645.00","5,519.60",,0.54%
2001-06-29,"5,642.50","5,638.40","5,656.40","5,604.80",,0.07%
2001-07-02,"5,716.70","5,642.50","5,723.40","5,614.60",,1.32%
2001-07-03,"5,639.90","5,716.70","5,726.10","5,630.30",,-1.34%
2001-07-04,"5,600.50","5,639.90","5,644.00","5,587.80",,-0.70%
2001-07-05,"5,549.60","5,600.50","5,601.30","5,509.70",,-0.91%
2001-07-06,"5,479.20","5,549.60","5,549.60","5,443.90",,-1.27%
2001-07-09,"5,468.90","5,479.20","5,487.90","5,420.50",,-0.19%
2001-07-10,"5,467.90","5,468.90","5,509.40","5,461.20",,-0.02%
2001-07-11,"5,391.90","5,467.90","5,468.50","5,380.40",,-1.39%
2001-07-12,"5,481.60","5,391.90","5,497.60","5,391.90",,1.66%
2001-07-13,"5,537.00","5,481.60","5,544.10","5,439.60",,1.01%
2001-07-16,"5,517.10","5,537.00","5,537.00","5,503.60",,-0.36%
2001-07-17,"5,427.80","5,517.10","5,517.10","5,408.40",,-1.62%
2001-07-18,"5,404.60","5,427.80","5,431.90","5,379.00",,-0.43%
2001-07-19,"5,437.40","5,404.60","5,437.40","5,322.20",,0.61%
2001-07-20,"5,387.10","5,437.40","5,437.40","5,350.40",,-0.93%
2001-07-23,"5,405.30","5,387.10","5,446.80","5,365.80",,0.34%
2001-07-24,"5,320.20","5,405.30","5,412.80","5,313.00",,-1.57%
2001-07-25,"5,275.70","5,320.20","5,350.10","5,260.50",,-0.84%
2001-07-26,"5,286.10","5,275.70","5,322.70","5,269.50",,0.20%
2001-07-27,"5,403.10","5,286.10","5,403.10","5,286.10",,2.21%
2001-07-30,"5,446.70","5,403.10","5,456.90","5,376.10",,0.81%
2001-07-31,"5,529.10","5,446.70","5,531.80","5,408.80",,1.51%
2001-08-01,"5,546.90","5,529.10","5,549.00","5,499.50",,0.32%
2001-08-02,"5,584.50","5,546.90","5,644.20","5,533.80",,0.68%
2001-08-03,"5,547.60","5,584.50","5,590.20","5,511.10",,-0.66%
2001-08-06,"5,526.40","5,547.60","5,561.20","5,516.00",,-0.38%
2001-08-07,"5,536.80","5,526.40","5,546.60","5,448.20",,0.19%
2001-08-08,"5,476.50","5,536.80","5,536.80","5,434.30",,-1.09%
2001-08-09,"5,402.90","5,476.50","5,476.50","5,376.70",,-1.34%
2001-08-10,"5,427.20","5,402.90","5,469.00","5,398.50",,0.45%
2001-08-13,"5,431.10","5,427.20","5,465.00","5,410.90",,0.07%
2001-08-14,"5,507.80","5,431.10","5,525.60","5,430.60",,1.41%
2001-08-15,"5,461.60","5,507.80","5,533.20","5,456.60",,-0.84%
2001-08-16,"5,389.80","5,461.60","5,462.40","5,389.80",,-1.31%
2001-08-17,"5,342.10","5,389.80","5,428.90","5,299.60",,-0.88%
2001-08-20,"5,357.40","5,342.10","5,372.10","5,286.70",,0.29%
2001-08-21,"5,430.30","5,357.40","5,435.30","5,353.20",,1.36%
2001-08-22,"5,408.70","5,430.30","5,471.60","5,373.00",,-0.40%
2001-08-23,"5,396.50","5,408.70","5,433.40","5,371.00",,-0.23%
2001-08-24,"5,471.90","5,396.50","5,471.90","5,385.30",,1.40%
2001-08-28,"5,434.70","5,471.90","5,475.50","5,395.90",,-0.68%
2001-08-29,"5,417.60","5,434.70","5,460.20","5,384.30",,-0.31%
2001-08-30,"5,332.70","5,417.60","5,435.70","5,332.70",,-1.57%
2001-08-31,"5,345.00","5,332.70","5,378.00","5,298.30",,0.23%
2001-09-03,"5,312.10","5,345.00","5,366.90","5,278.20",,-0.62%
2001-09-04,"5,379.60","5,312.10","5,379.60","5,291.30",,1.27%
2001-09-05,"5,316.00","5,379.60","5,379.60","5,306.60",,-1.18%
2001-09-06,"5,204.30","5,316.00","5,333.00","5,189.80",,-2.10%
2001-09-07,"5,070.30","5,204.30","5,206.80","5,068.10",,-2.57%
2001-09-10,"5,033.70","5,070.30","5,070.30","4,895.90",,-0.72%
2001-09-12,"4,882.10","4,746.00","4,882.10","4,651.80",,-3.01%
2001-09-13,"4,943.60","4,882.10","4,946.60","4,847.50",,1.26%
2001-09-14,"4,755.70","4,943.60","4,970.10","4,743.00",,-3.80%
2001-09-17,"4,898.90","4,755.70","4,898.90","4,670.50",,3.01%
2001-09-18,"4,848.70","4,898.90","4,899.40","4,772.20",,-1.02%
2001-09-19,"4,721.70","4,848.70","4,874.00","4,697.40",,-2.62%
2001-09-20,"4,556.90","4,721.70","4,743.80","4,523.50",,-3.49%
2001-09-21,"4,433.70","4,556.90","4,556.90","4,219.80",,-2.70%
2001-09-24,"4,613.90","4,433.70","4,615.50","4,433.70",,4.06%
2001-09-25,"4,663.40","4,613.90","4,679.60","4,515.30",,1.07%
2001-09-26,"4,696.10","4,663.40","4,715.00","4,606.60",,0.70%
2001-09-27,"4,763.60","4,696.10","4,763.60","4,651.00",,1.44%
2001-09-28,"4,903.40","4,763.60","4,920.50","4,763.60",,2.93%
2001-10-01,"4,785.60","4,903.40","4,903.40","4,768.10",,-2.40%
2001-10-02,"4,832.30","4,785.60","4,833.00","4,730.70",,0.98%
2001-10-03,"4,881.80","4,832.30","4,884.60","4,758.50",,1.02%
2001-10-04,"5,016.20","4,881.80","5,034.30","4,881.80",,2.75%
2001-10-05,"5,036.00","5,016.20","5,082.90","4,962.10",,0.39%
2001-10-08,"5,032.70","5,036.00","5,051.00","4,902.70",,-0.07%
2001-10-09,"5,009.80","5,032.70","5,079.20","4,997.00",,-0.46%
2001-10-10,"5,153.10","5,009.80","5,153.10","4,978.20",,2.86%
2001-10-11,"5,164.90","5,153.10","5,279.80","5,136.90",,0.23%
2001-10-12,"5,145.50","5,164.90","5,187.50","5,081.20",,-0.38%
2001-10-15,"5,067.30","5,145.50","5,148.40","5,046.00",,-1.52%
2001-10-16,"5,082.60","5,067.30","5,158.70","5,060.80",,0.30%
2001-10-17,"5,203.40","5,082.60","5,229.60","5,082.60",,2.38%
2001-10-18,"5,116.00","5,203.40","5,203.40","5,090.20",,-1.68%
2001-10-19,"5,017.70","5,116.00","5,116.00","5,003.90",,-1.92%
2001-10-22,"5,070.40","5,017.70","5,078.20","5,017.70",,1.05%
2001-10-23,"5,193.30","5,070.40","5,193.30","5,070.40",,2.42%
2001-10-24,"5,167.60","5,193.30","5,265.50","5,133.00",,-0.49%
