Date,Price,Open,High,Low,Change %
2000-01-03,5.446,5.446,5.446,5.446,-0.62%
2000-01-04,5.642,5.642,5.642,5.642,3.60%
2000-01-05,5.739,5.739,5.739,5.739,1.72%
2000-01-06,5.757,5.757,5.757,5.757,0.31%
2000-01-07,5.701,5.701,5.701,5.701,-0.97%
2000-01-10,5.617,5.617,5.617,5.617,-1.47%
2000-01-11,5.701,5.701,5.701,5.701,1.50%
2000-01-12,5.746,5.746,5.746,5.746,0.79%
2000-01-13,5.658,5.658,5.658,5.658,-1.53%
2000-01-14,5.682,5.682,5.682,5.682,0.42%
2000-01-17,5.756,5.756,5.756,5.756,1.30%
2000-01-18,5.862,5.862,5.862,5.862,1.84%
2000-01-19,5.793,5.793,5.793,5.793,-1.18%
2000-01-20,5.838,5.838,5.838,5.838,0.78%
2000-01-21,5.793,5.793,5.793,5.793,-0.77%
2000-01-24,5.758,5.758,5.758,5.758,-0.60%
2000-01-25,5.702,5.702,5.702,5.702,-0.97%
2000-01-26,5.665,5.665,5.665,5.665,-0.65%
2000-01-27,5.789,5.789,5.789,5.789,2.19%
2000-01-28,5.837,5.837,5.837,5.837,0.83%
2000-01-31,5.718,5.718,5.718,5.718,-2.04%
2000-02-01,5.585,5.585,5.585,5.585,-2.33%
2000-02-02,5.595,5.595,5.595,5.595,0.18%
2000-02-03,5.512,5.512,5.512,5.512,-1.48%
2000-02-04,5.622,5.622,5.622,5.622,2.00%
2000-02-07,5.651,5.651,5.651,5.651,0.52%
2000-02-08,5.606,5.606,5.606,5.606,-0.80%
2000-02-09,5.647,5.647,5.647,5.647,0.73%
2000-02-10,5.676,5.676,5.676,5.676,0.51%
2000-02-11,5.644,5.644,5.644,5.644,-0.56%
2000-02-14,5.575,5.575,5.575,5.575,-1.22%
2000-02-15,5.588,5.588,5.588,5.588,0.23%
2000-02-16,5.675,5.675,5.675,5.675,1.56%
2000-02-17,5.644,5.644,5.644,5.644,-0.55%
2000-02-18,5.595,5.595,5.595,5.595,-0.87%
