Date, Open, High, Low, Close
08/31/12, 5719.50, 5763.77, 5707.99, 5711.48
08/30/12, 5743.40, 5743.40, 5705.65, 5719.45
08/29/12, 5775.76, 5775.76, 5739.23, 5743.53
08/28/12, 5776.69, 5779.49, 5749.75, 5775.71
08/27/12, 5776.60, 5791.39, 5739.41, 5776.60
08/24/12, 5776.70, 5791.39, 5739.41, 5776.60
08/23/12, 5774.47, 5809.26, 5764.02, 5776.60
08/22/12, 5857.43, 5857.43, 5771.22, 5774.20
08/21/12, 5824.52, 5872.59, 5824.52, 5857.52
08/20/12, 5852.44, 5857.50, 5802.91, 5824.37
08/17/12, 5834.59, 5854.72, 5834.39, 5852.42
08/16/12, 5832.97, 5846.70, 5811.31, 5834.51
08/15/12, 5864.34, 5864.34, 5822.25, 5833.04
08/14/12, 5832.25, 5876.22, 5832.25, 5864.78
08/13/12, 5847.12, 5852.79, 5813.63, 5831.88
08/10/12, 5851.40, 5858.56, 5827.71, 5847.11
08/09/12, 5845.94, 5860.16, 5828.44, 5851.51
08/08/12, 5841.18, 5845.92, 5801.08, 5845.92
08/07/12, 5808.84, 5841.24, 5785.01, 5841.24
08/06/12, 5787.29, 5837.61, 5767.10, 5808.77
08/03/12, 5662.33, 5794.01, 5662.33, 5787.28
08/02/12, 5712.83, 5765.81, 5657.25, 5662.30
08/01/12, 5635.25, 5712.82, 5632.97, 5712.82
07/31/12, 5693.74, 5695.54, 5635.28, 5635.28
07/30/12, 5627.48, 5706.47, 5625.67, 5693.63
07/27/12, 5573.48, 5631.00, 5550.90, 5627.21
07/26/12, 5498.51, 5594.51, 5478.04, 5573.16
07/25/12, 5498.76, 5526.09, 5478.02, 5498.32
07/24/12, 5533.89, 5556.63, 5486.99, 5499.23
07/23/12, 5651.67, 5651.67, 5510.92, 5533.87
07/20/12, 5714.14, 5714.14, 5644.93, 5651.77
07/19/12, 5686.60, 5718.61, 5686.13, 5714.19
07/18/12, 5629.23, 5688.29, 5624.54, 5685.77
07/17/12, 5662.53, 5676.47, 5621.19, 5629.09
07/16/12, 5666.11, 5670.60, 5640.88, 5662.43
07/13/12, 5608.37, 5675.62, 5608.30, 5666.13
07/12/12, 5664.43, 5664.43, 5588.84, 5608.25
07/11/12, 5664.01, 5674.65, 5625.60, 5664.48
07/10/12, 5627.44, 5688.66, 5622.29, 5664.07
07/09/12, 5662.60, 5669.75, 5610.71, 5627.33
07/06/12, 5692.62, 5695.06, 5647.47, 5662.63
07/05/12, 5684.49, 5727.45, 5662.48, 5692.63
07/04/12, 5687.61, 5699.85, 5669.73, 5684.47
07/03/12, 5641.55, 5689.00, 5636.05, 5687.73
07/02/12, 5571.22, 5640.64, 5571.20, 5640.64
06/29/12, 5495.20, 5619.65, 5495.20, 5571.15
06/28/12, 5523.98, 5533.75, 5436.50, 5493.06
06/27/12, 5447.49, 5525.14, 5447.28, 5523.92
06/26/12, 5451.09, 5476.50, 5436.27, 5446.96
06/25/12, 5512.92, 5513.00, 5435.46, 5450.65
